Min °C,Max °C,Rain(mm),Max wind gust Spd - km/h,Temp °C- 9:00AM,RH -% 9:00AM,Spd - 9:00AM - km/h,MSLP- hPa - 9:00AM,Temp °C- 3:00PM,RH -% 3:00PM,Spd - 3:00PM - km/h,MSLP- hPa - 3:00PM,RainTomorrow,State_NSW,State_NT,State_QLD,State_SA,State_TAS,State_VIC,State_WA,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September
5.4,13.7,0.0,19.0,11.6,83.0,4.0,1036.8,13.0,77.0,7.0,1034.8,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8.1,12.9,11.4,57.0,10.6,51.0,19.0,1011.8,10.4,76.0,19.0,1010.4,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12.8,16.2,0.0,35.0,13.5,83.0,13.0,1018.2,13.9,75.0,11.0,1019.9,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5.4,19.6,0.0,37.0,12.6,60.0,11.0,1025.9,18.6,37.0,17.0,1020.8,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3.7,18.4,0.0,30.0,11.5,47.0,13.0,1027.4,17.9,31.0,15.0,1022.1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5.6,23.0,0.0,37.0,13.1,41.0,6.0,1025.0,20.1,29.0,13.0,1021.4,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3.9,12.1,0.2,22.0,7.3,84.0,13.0,1029.6,11.1,69.0,9.0,1027.8,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7.0,13.5,13.4,35.0,10.8,61.0,13.0,1027.8,13.1,59.0,13.0,1029.6,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3.6,15.0,0.0,24.0,10.2,71.0,4.0,1029.7,14.7,54.0,13.0,1027.0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9.0,14.2,0.2,15.0,11.2,75.0,13.0,1036.4,13.1,67.0,9.0,1033.6,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5.0,12.8,5.0,44.0,9.5,80.0,2.0,1018.7,11.7,65.0,20.0,1018.1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5.7,18.9,0.0,35.0,12.1,59.0,11.0,1019.6,18.1,49.0,13.0,1013.1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11.6,16.7,0.0,35.0,13.4,49.0,11.0,1017.6,13.7,61.0,17.0,1018.1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11.5,22.6,0.0,41.0,16.4,29.0,17.0,1021.6,22.0,26.0,13.0,1015.6,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6.4,16.7,0.0,24.0,10.0,73.0,6.0,1031.7,16.0,41.0,11.0,1027.1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9.1,12.8,4.6,43.0,10.7,76.0,11.0,1019.5,11.5,53.0,9.0,1021.5,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10.3,13.0,2.2,54.0,11.6,64.0,20.0,1011.8,7.6,87.0,20.0,1014.3,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4.6,13.6,0.0,28.0,10.7,64.0,7.0,1026.9,13.2,55.0,9.0,1025.4,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9.2,14.0,0.0,20.0,11.9,67.0,7.0,1036.0,12.0,84.0,11.0,1035.0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
